id,ReportType,CurrentStatus,Description,DateCreate_Converted,DateClosed_Converted,location,YEAR
"223,175",Homeless,Closed,"Homeless tent keeps coming back and set up closed to waena apartments property fence and is really bothering the residents, management office",3/25/16 17:45,2/2/18 11:44,"(21.317095, -157.860046)",2016
"222,922",Homeless,Referred To Dept,"After the City had them move this car into their garage after years on the street, they moved it back to the old spot one week later. It's still an eye sore on City property.",3/24/16 12:17,,"(21.2731371, -157.7922014)",2016
"220,048",Homeless,Referred To Dept,"We are a new group of squatters living at Liliuokalani park. One has stored numerous bikes and carts along the fence line on kuakini, and lives under the bridge with others. Early in the evening others come into park and set up for the night, including",3/11/16 20:01,,"(21.320709, -157.855072)",2016
"219,006",Homeless,Closed,Homeless person still trespassing. Cut the fence that was repaired. The person always comes back during nights and weekends.,3/7/16 17:57,2/2/18 11:39,"(21.325066, -157.868256)",2016
"216,618",Homeless,Closed,"There's a bright fuchsia comforter, a large leather tote bag which looks like it's filled with personal items and various other items-- clothes, etc.--buried in a man made pile of grass clippings on the ""no camping"" area on Kokea Street under the tree",2/25/16 22:05,3/18/16 14:04,"(21.324524, -157.868973)",2016
"215,708",Homeless,Closed,Homeless have taken over Mailiili public bathroom. It is inaccessible as a number of people have taken over the bathroom and its surrounding.,2/22/16 12:25,5/2/16 10:14,"(21.294557785, -157.824681545)",2016
"215,618",Homeless,Closed,The person making house here appears to have cut the fence and is currently sleeping by the tree on a nightly basis.,2/22/16 8:17,3/18/16 14:03,"(21.325073, -157.86824)",2016
"215,170",Homeless,Closed,Illegal camping in and on city public area...Nuisance violation.,2/20/16 11:19,3/18/16 14:02,"(21.316918182, -157.858977312)",2016
"214,112",Homeless,Closed,Permanent campsite on public beach. It is at puaena point.,2/16/16 11:16,2/16/16 11:20,"(21.60102987, -158.10452552)",2016
"213,227",Homeless,Closed,"Abandoned, vandalized catamaran with jagged edges on which keiki could get cut. This is a few yards from the sand on Waimanalo Beach between Hihimanu and Ehukai Streets. Please remove.",2/11/16 16:02,2/12/16 9:50,"(21.340195, -157.699753)",2016
"211,355",Homeless,Closed,Homeless guy is back but now has only mattress.,2/4/16 7:57,3/18/16 11:08,"(21.325117, -157.86824)",2016
"210,472",Homeless,Closed,Tent is back up where a homeless man was previously.,2/1/16 8:27,3/18/16 11:06,"(21.325048, -157.868256)",2016
"207,300",Homeless,Closed,Matson container stored on street. Not permitted by C&amp;C.,1/18/16 9:04,2/1/16 7:45,"(21.34224505, -158.03207105)",2016
"207,294",Homeless,Closed,Homeless man keeps coming back and making house.,1/18/16 8:24,1/28/16 13:55,"(21.325096, -157.86824)",2016
"207,091",Homeless,Closed,Items left on Coral st,1/16/16 18:25,8/31/17 11:13,"(21.300575, -157.857895)",2016
"204,014",Homeless,Closed,Homeless leaving property abandoned in city park mother Waldron.,1/1/16 16:11,5/12/16 8:08,"(21.299179, -157.858826)",2016
"203,348",Homeless,Closed,Abandoned shopping cart left inattended on public sidewalk.,12/28/15 15:14,12/28/15 15:26,"(21.320803865, -157.862585477)",2015
"202,630",Homeless,Closed,Homeless property nuisance violation.,12/23/15 8:35,2/2/18 14:35,"(21.31492797, -157.86251781)",2015
"202,090",Homeless,Closed,illegal dumping,12/20/15 10:55,1/7/16 14:22,"(21.289543, -157.833603)",2015
"201,023",Homeless,Closed,Shopping carts used by individuals recycling recyclables and leaving carts along public sidewalks.,12/14/15 13:25,12/15/15 15:17,"(21.3119448, -157.8637317)",2015
"198,987",Homeless,Closed,Homeless encampment nuisance violation in public property.,12/2/15 16:49,12/7/15 8:14,"(21.31573076, -157.86050277)",2015
"197,820",Homeless,Closed,Stored nuisance property violation.,11/24/15 19:43,11/25/15 13:46,"(21.324069428, -157.87064957)",2015
"197,818",Homeless,Closed,Shopping cart with unattended items along public/government area.,11/24/15 19:34,11/25/15 13:45,"(21.3226518, -157.8724242)",2015
"197,315",Homeless,Closed,"In the evenings and mornings (presumably over night) someone is spreading this stuff, along with other possessions, out to make a fort. The fort takes up the entire bus shelter so one one else can fit in it. The large boards seen in this photo are stored",11/21/15 16:50,2/2/18 14:29,"(21.3028744, -157.8325228)",2015
"195,868",Homeless,Closed,Repeated notice of personal property in sidewalk nuisance violation.who acting upon city or state along Beretania? ??,11/14/15 14:04,11/18/15 11:53,"(21.31495274, -157.86236326)",2015
"195,311",Homeless,Closed,Stored personal property on public sidewalk. NUISANCE VIOLATION.,11/11/15 16:42,2/2/18 14:28,"(21.31702775, -157.85994994)",2015
"194,389",Homeless,Closed,A homeless person is discreetly making house right across from Kokea Gardens near one of the trees inside the locked fence and near a sign that says no camping. It seems this person uses crates to get in and out.,11/7/15 8:39,2/2/18 14:27,"(21.3251, -157.86821)",2015
"192,964",Homeless,Closed,Public nuisance violation along sidewalk.,10/31/15 10:37,11/2/15 15:03,"(21.31857648, -157.86723589)",2015
"192,958",Homeless,Closed,Multiple violations stored property and homeless dwelling. Public nuisance violation.,10/31/15 10:25,11/2/15 15:03,"(21.321824031, -157.872540532)",2015
"192,425",Homeless,Closed,"This area by the entrance to Chinatown is always a constant problem with homeless. Please conduct regular SPO sweeps here, thanks!",10/28/15 14:01,2/2/18 14:26,"(21.313883, -157.863983)",2015
"191,873",Homeless,Closed,"Blocking sidewalk parking in residential area. 3 houses up ahead road construction. Residents near have no place to park, or the workers.",10/26/15 12:00,10/29/15 12:09,"(21.348309, -157.915512)",2015
"191,340",Homeless,Closed,"Attention to all parties involved c&amp;c, state of hawaii, private agencies.",10/23/15 9:20,10/23/15 9:33,"(21.293604288, -157.863899587)",2015
"190,070",Homeless,Closed,Broken cars with trash piled on them for literally the last 4 years and I have reported this before . Rats come out from under those cars and piles of trash and mosquitoes are always surrounding it . There is no reason they can't get rid of two or three,10/16/15 21:49,10/19/15 9:03,"(21.402077, -157.746094)",2015
"189,307",Homeless,Closed,Homelessness encampment continues to flourish it has been many weeks too long already get them off the sidewalks at the gateway to Waikiki our economic engine.,10/13/15 15:23,2/2/18 14:25,"(21.292023, -157.836334)",2015
"189,239",Homeless,Closed,"Homeless guy. Recent. Probably from kakaako sweeps. Shopping cart, multiple containers blocking sidewalk. Here also sits in middle of sidewalk, blocking access.",10/13/15 12:10,10/14/15 15:55,"(21.295588, -157.823578)",2015
"189,233",Homeless,Closed,"Homeless guy. Recent. Probably from kakaako sweeps. Shopping cart, multiple containers blocking sidewalk. Here also sits in middle of sidewalk, blocking access.",10/13/15 12:04,2/2/18 14:25,"(21.295446, -157.823425)",2015
"188,408",Homeless,Closed,Shopping cart full of trash.,10/9/15 8:10,10/9/15 9:01,"(21.3171637, -157.8600831)",2015
"187,795",Homeless,Closed,On the HI-99 the old road to the Mililani cemeteries is it possible for you people to reopen & repaving the road & a fixing it up for another enterie and put up new fences . Is it possible to make it wider the road . Cause it easier to get around . ?????,10/6/15 15:14,10/6/15 15:51,"(21.423441, -158.007889)",2015
"187,761",Homeless,Closed,Sleeper and belongings on sidewalk repeatedly. Enforce sit lay ban.,10/6/15 10:59,2/2/18 14:25,"(21.309494, -157.859909)",2015
"187,750",Homeless,Closed,Needs to repaving road on the Mililani road do to a lot of bumpy areas road please .??,10/6/15 10:22,10/13/15 7:45,"(21.429291, -157.995499)",2015
"187,401",Homeless,Closed,Illegal stored property and homeless camping on public sidewalk.,10/5/15 1:21,10/8/15 8:58,"(21.31497709, -157.86271858)",2015
"185,342",Homeless,Closed,Homeless camping and property violation on public sidewalk. Area of interest to remove homeless encampment.,9/24/15 6:08,10/1/15 14:42,"(21.31456862, -157.86216659)",2015
"185,338",Homeless,Closed,Construction tool left along.public sidewalk and illegal area.,9/24/15 6:00,2/2/18 12:24,"(21.31559166, -157.86227959)",2015
"184,712",Homeless,Closed,Bunch of stored property at smith beretania park on pauahi.,9/21/15 14:25,1/15/16 7:53,"(21.311996, -157.861618)",2015
"184,583",Homeless,Closed,Illegal store items on public sidewalk belonging to homeless beggers. Please refer to according department division please.,9/21/15 6:16,2/2/18 12:24,"(21.31646322, -157.86388258)",2015
"183,466",Homeless,Referred To Dept,No more fire extinguisher on booths sides,9/15/15 18:51,,"(21.453812, -158.00766)",2015
"183,464",Homeless,Referred To Dept,"Could you power wash the transit in Mililani town center & there is a lot of gum on the ground & clean the rain gutter also , tree trimming & bathroom cleaning needs more improvement please & graffiti everywhere",9/15/15 18:45,,"(21.453606, -158.007141)",2015
"183,264",Homeless,Closed,Get off your lazy asses! Nothing seems to be done about this damn van! This is the fifth time I'm reporting on this abandon vehicle. White Nissan NV3500 License Plate 798TVC. It has been parked in front of 793 Isenberg for the past five months. This pers,9/15/15 2:44,10/7/15 16:08,"(21.290871, -157.826309)",2015
"181,731",Homeless,Closed,"Storage of unattended items near maintenance building (?) in public park (Stadium Park, Moiliili).",9/6/15 18:41,2/2/18 12:20,"(21.292671, -157.827042)",2015
"179,946",Homeless,Referred To Dept,Is it possible to power wash the floor @ mililani transit also repainting the aeras please &amp; the bathroom also need to fix up . Cleaning the rain gutters . It looks discussing all over seriously,8/28/15 21:40,,"(21.45368134, -158.0076242)",2015
"179,931",Homeless,Closed,Homeless people leave their junk all throughout the sidewalk at sun yat sen park and sleep on sidewalks despite sit lie bill. Can we enforce sit and lie on this sidewalk?,8/28/15 16:33,2/2/18 12:19,"(21.31077, -157.861725)",2015
"178,369",Homeless,Closed,This vehicle is consistently parked here on side of Kam Hwy. most likely belongs to one of illegal homeless campers in brush of Kahalu'u makai park. Rare to be moved.,8/21/15 8:10,10/8/15 10:29,"(21.462465, -157.84285)",2015
"177,145",Homeless,Closed,Homeless encampment starting in this area,8/16/15 15:43,2/2/18 12:15,"(21.288172, -157.818298)",2015
"174,032",Homeless,Closed,Junk truck parked on street,8/2/15 7:20,,"(21.310035337, -157.711060966)",2015
"169,812",Homeless,Closed,bin on the street to save parking for who he wants its 7/12 Another week since he was talked to . Clearly he doesn't care or hasn't been spoken to. Mahaloz for the efforts.,7/12/15 7:50,2/2/18 12:11,"(21.3458563, -157.8626565)",2015
"168,656",Homeless,Closed,Monsarat park homeless has been parked in same place for weeks taking up picnic table so public cannot use. Unhealthy storage of trash as well. Police must not allow this to continue.,7/6/15 10:09,2/2/18 12:08,"(21.268806, -157.815811)",2015
"167,966",Homeless,Closed,Homeless camp starting up. Went from 1 to 3 homeless and growing.,7/2/15 8:21,2/2/18 12:08,"(21.288902, -157.833221)",2015
"167,529",Homeless,Closed,Homeless behind court 12 4th report,6/30/15 16:28,2/2/18 12:08,"(21.33094931, -157.90124748)",2015
"163,511",Homeless,Closed,It's near a martial arts school. Please get rid of it.,6/9/15 19:06,2/2/18 12:05,"(21.291818596, -157.826361355)",2015
"162,092",Homeless,Closed,"Actual address is 1145 Bishop, on the public side walk on Adams lane. This is the second time this has returned to the sidewalk that is not private property.",6/2/15 8:58,2/2/18 11:43,"(21.310249, -157.859268)",2015
"157,952",Homeless,Closed,Actual address is Adams lane sidewalk. This is not private property per city parcel maps. People are living in it.,5/14/15 10:59,2/2/18 11:40,"(21.309341, -157.859406)",2015
"154,726",Homeless,Closed,Unattended stored property fronting the pacific beach hotel,4/28/15 11:35,12/17/15 9:45,"(21.274263, -157.824188)",2015
"154,086",Homeless,Closed,Homeless shopping carts have been fronting this address for several days now.,4/25/15 10:55,2/2/18 11:37,"(21.2965454, -157.8340981)",2015
"153,032",Homeless,Closed,"All along Waimanu street from kamakee to pensicola street there are abandoned items chained to telephone poles, meters and in front of city and county property there is a tent and umbrella set up with garbage all over the side walks. Please have the item",4/20/15 9:22,2/2/18 11:36,"(21.297516, -157.852295)",2015
"152,571",Homeless,Closed,Abandoned moped - has been here since Monday,4/17/15 7:55,11/17/15 13:57,"(21.288441, -157.834702)",2015
"150,756",Homeless,Closed,Actual location 1145 Bishop st.,4/7/15 14:25,2/2/18 11:32,"(21.310074, -157.859558)",2015
"148,816",Homeless,Closed,Homeless at sun yat sen park near hotel and bethel have heaps of stored property thrown around the park.,3/26/15 10:07,2/2/18 11:30,"(21.310886, -157.86174)",2015
"146,868",Homeless,Closed,When is the county gonna put up the rails on koko head trails . It would help out .,3/14/15 12:14,3/16/15 8:10,"(21.277980042, -157.694145473)",2015
"146,255",Homeless,Closed,"These homeless have not been cleared from this sight, why is this continuing?! What an embarrassment to our valued tourist going in and out of our economic engine WAIKIKI??Many residents are also very dissatisfied with the C&C's ineffectiveness.PLEASE CL",3/10/15 17:10,2/2/18 11:28,"(21.292051, -157.836517)",2015
"145,034",Homeless,Closed,This location is a recurring homeless encampment; why does it need to be reported over & over & over. Please have the structures removed once & for all or what good is our Sidewalk Law?,3/3/15 10:00,2/2/18 11:25,"(21.292059, -157.836502)",2015
"144,949",Homeless,Closed,People storing and making a tent-like shelter along the building and fence line Alder St and Elm St,3/2/15 18:47,2/2/18 11:25,"(21.298674, -157.843857)",2015
"144,733",Homeless,Closed,"There is no more park lights there also for us yo play late or other things . &amp; restooms needs to refix like doors,toilets , sinks, soap , toilet papper . Repaveing the basketball court , basketball rims .",2/28/15 14:47,2/2/18 11:24,"(21.4403404, -158.0078813)",2015
"144,111",Homeless,Closed,They abandoned the house and left trash and furniture all over the yard and in the garage,2/23/15 8:37,2/2/18 11:20,"(21.403152, -157.74556)",2015
"143,660",Homeless,Closed,Even mail delivery,2/19/15 9:57,2/2/18 11:19,"(21.288849521, -157.841412211)",2015
"143,592",Homeless,Closed,"Group of houseless people have decided that the bus stop fronting Walmart on Ke'eaumoku Street to be their new home. For the past several months (3+) they've been storing their belongings as well as occupied that bus shelter. Numerous calls to HPD, TheBu",2/18/15 18:49,2/2/18 11:17,"(21.294657, -157.841995)",2015
"143,480",Homeless,Closed,Lic# FYC-246 this vehicle has been here for almost two weeks without moving. Sunday will be two weeks. It has a Pua Lane address.,2/18/15 6:40,2/2/18 11:17,"(21.31917812, -157.85040607)",2015
"143,252",Homeless,Closed,"Truck, car and many paint and gas cans piled in front of the house with graffiti all over it",2/16/15 18:15,2/2/18 11:17,"(21.39843, -157.746948)",2015
"143,170",Homeless,Closed,Piles of property overflows into the street. Bicycle part all over the place. Unable to walk by. Difficult to park and get out of the passenger side. Filthy with trash all over and into the property.,2/16/15 8:46,2/2/18 11:16,"(21.298529, -157.844086)",2015
"143,160",Homeless,Closed,"This has been going on for years with these guys, they just play the game. 8 AM and the bus stop and sidewalk blocked.",2/16/15 8:16,2/17/15 8:55,"(21.288902274, -157.841336566)",2015
"142,255",Homeless,Closed,Piles of property covered with tarp and parts bicycles strewn all over the sidewalk making it hard to walk thru or wheelchairs to pass,2/10/15 18:39,2/2/18 11:16,"(21.29854, -157.844101)",2015
"142,240",Homeless,Closed,2 Boat on trailers not hooked up to vehicles,2/10/15 16:41,2/2/18 11:16,"(21.443446776, -158.008264834)",2015
"141,482",Homeless,Closed,Sidewalk blocked by homeless sleeping and their property,2/5/15 14:29,2/2/18 11:14,"(21.293495, -157.82254)",2015
"140,654",Homeless,Closed,We need a bulky items to be pick up in the mililani mauka complex please .its getting full .,1/30/15 14:36,2/2/18 11:13,"(21.475974083, -157.993342792)",2015
"139,396",Homeless,Closed,Items left on a wagon and piled up slowly being stripped of items . Stored for over a week very messy and ugly.,1/19/15 20:15,2/2/18 11:13,"(21.298342, -157.84407)",2015
"139,179",Homeless,Closed,"The two cars shown in the photos, haven't moved in weeks. One of the vehicles (Red) has been on jack stand for about the same time. The other photo, is the house it is located in front of. Although the jack stands look new, I don't think cars should be r",1/16/15 14:35,12/17/15 15:22,"(21.31932693, -157.85040652)",2015
"137,746",Homeless,Closed,The sign is gonna fall down soon . But idk when its gonna happen .,1/4/15 8:52,2/2/18 10:30,"(21.439390429, -158.021573288)",2015
"137,727",Homeless,Closed,Person living in back of truck with furniture up to neighbor property line. Over the years more tents and furniture has been collected and added to the back of the truck.,1/3/15 21:41,2/2/18 10:30,"(21.283614675, -157.805671482)",2015
"136,963",Homeless,Closed,Used tires,12/27/14 10:05,2/2/18 10:15,"(21.29241348, -157.82917053)",2014
"136,567",Homeless,Closed,Neighbors proerty has an abundance of clutter and trash that looks like a major fire hazard and intending ground for rodrnts,12/22/14 12:00,12/8/15 15:21,"(21.310249, -157.853958)",2014
"136,294",Homeless,Closed,Lots of shopping carts show up here at night. Can the city please clean? They usually show up at 9 pm. People can't walk down sidewalks in some areas.,12/19/14 21:28,2/2/18 10:15,"(21.312307, -157.861908)",2014
"136,282",Homeless,Closed,Property on sidewalk area piled up on a cart. Covered with a tarp lots of junk and rubbish. Across from the park playground. Very unsightly mess. 833 Piikoi St Sheridan Community Park,12/19/14 15:57,2/2/18 10:15,"(21.29804, -157.844833)",2014
"134,187",Homeless,Closed,When are we going to address this? Just gets worse by the day.,12/2/14 11:07,2/2/18 10:25,"(21.28913906, -157.842484847)",2014
"133,258",Homeless,Closed,Ongoing and growing. Check Star Advertiser editorials.,11/22/14 9:05,2/2/18 10:22,"(21.288991989, -157.841932974)",2014
"133,256",Homeless,Closed,Sidewalk blocked.,11/22/14 9:03,2/2/18 10:21,"(21.289074798, -157.841159033)",2014
"132,723",Homeless,Closed,They were back within hours of last weeks cleaning out.,11/17/14 10:11,2/2/18 10:21,"(21.289079121, -157.841924562)",2014
"132,034",Homeless,Closed,Boat trailer parked on street with no license plates. Owner is 2029 address Todd Liddy always taking up the street parking for commercial business in a residential area.,11/11/14 14:19,2/2/18 10:13,"(21.41884934, -157.96534404)",2014
"129,939",Homeless,Closed,"This washing machine has been on the street - on city property - for over two weeks. These neighbors do this all the time and get away with it, bringing the entire community down.",10/26/14 14:19,2/2/18 10:10,"(21.41823, -157.798447)",2014
"129,771",Homeless,Closed,SDU152 Mercedes bus white corner on Pensacola St. & Kamaile St. Sec. 15-16.6 Storage parking of commercial vehicles prohibited--No signs required.,10/24/14 11:51,2/2/18 10:10,"(21.296749, -157.847321)",2014
"129,770",Homeless,Closed,SGP364 Mercedes bus charcoal gray parked on the corner on Kamaile St & Pensacola Sec. 15-16.6 Storage parking of commercial vehicles prohibited--No signs required.,10/24/14 11:44,2/2/18 10:10,"(21.296783, -157.847076)",2014
"129,767",Homeless,Closed,802TTW Ford bus white with painted graffiti all over. Parked illegal commercial vehicle across 1128 Kamaile and Piikoi St,10/24/14 11:28,2/2/18 10:10,"(21.296392, -157.846161)",2014
"129,262",Homeless,Closed,"This village is really growing. Major safety issue for wheelchairs, pedestrians etc. beyond being an eyesore and an embarrassment to Honolulu. Please do something!",10/20/14 12:25,2/2/18 10:11,"(21.289102916, -157.842383601)",2014
"129,023",Homeless,Closed,Vacant lot continuously used for storage of construction materials.,10/18/14 11:46,2/2/18 10:03,"(21.30895, -157.826182)",2014
"128,807",Homeless,Closed,Homeless vegrants spreading out all their trash and belongings at the base of the statue.... I see police officers three ( 3) of them taking care of the situation now. This happens all to friquently in this park. When I have to wait for a bus most times,10/16/14 7:19,2/2/18 10:03,"(21.285004, -157.835678)",2014
"128,403",Homeless,Closed,"Owners repeatedly leave garbage bin or traffic cone on Liliha to reserve parking for themselves, even on non-trash pick-up days.",10/13/14 7:18,2/2/18 9:51,"(21.325325, -157.855179)",2014
"128,373",Homeless,Closed,"802TTW Chevy Van lots of graffiti painted on sides of van body, across 1122 Kamaile & Piikoi StSec. 15-16.6 Storage parking of commercial vehicles prohibited--No signs required.",10/13/14 4:25,2/2/18 9:51,"(21.296436, -157.846268)",2014
"128,256",Homeless,Closed,Piling up on a daily basis. Major thoroughfare embarrassing as well as serious safety issues for the public. When are you going to address?,10/11/14 7:37,2/2/18 9:51,"(21.289101327, -157.842376476)",2014
"127,880",Homeless,Closed,Homeless person sitting on recliner in middle of narrow sidewalk. Assorted personal items also in area.,10/8/14 7:45,2/2/18 9:51,"(21.302319, -157.848175)",2014
"127,338",Homeless,Closed,I arrived at the park to go jogging a couple hours ago. The maintenance state vehicle was parked here then. But they didnt clean anything. Was this a volumteer? Or are my tax dollars paying this guys salary to sit and pretend to do his job? I?d like to,10/4/14 8:51,2/2/18 9:52,"(21.397385, -157.726868)",2014
"127,103",Homeless,Closed,Here for months and growing. Wheelchairs and strollers cannot get by. Dangerous sidewalk blocked,10/2/14 8:10,2/2/18 9:52,"(21.289204724, -157.842614433)",2014
"127,037",Homeless,Closed,There is a boat trailer without any license plates that is parked to close to my driveway making it a hazard for me to reverse out of my driveway. The renter across the street had been doing this for years and making us residents have a hard time parking,10/1/14 20:40,2/2/18 9:52,"(21.41853647, -157.9650663)",2014
"126,855",Homeless,Closed,Parts of an old couch and mattress on smith street near inner section of king,9/30/14 13:15,2/2/18 9:52,"(21.311094, -157.863602)",2014
"126,716",Homeless,Closed,my neighbors are out of control parking cars everywhere on the property and off of the property even one foot away from my window and their state trash cans is right next to my window and I can smell the stench from it there should not be that many cars,9/29/14 21:08,2/2/18 9:52,"(21.40742867, -158.17708573)",2014
"126,671",Homeless,Closed,Lots of shopping carts and trash from homeless right next Hawaii theatre. Really bad for businesses in the area. If someone could please come grab it ASAP that would be great.,9/29/14 10:10,2/2/18 9:52,"(21.31126, -157.861115)",2014
"126,305",Homeless,Closed,Items being stored in news stand on public sidewalk. On lilioukalani ave next to aloha center cafe at the pacific beach hotel.Mahalo,9/25/14 16:01,2/2/18 9:58,"(21.274616, -157.823929)",2014
"125,614",Homeless,Closed,Been here for weeks. ......Disgusting,9/19/14 15:51,2/2/18 9:35,"(21.289215875, -157.841513316)",2014
"123,835",Homeless,Closed,Tenant chains and cones public street parking to property everyday. Uses this particular area as their own private parking on a public street... Please have them allow other vehicles to park when needed like anyone else and not to make it their personal,9/8/14 6:30,2/2/18 9:32,"(21.330261, -157.864136)",2014
"121,625",Homeless,Closed,Unattended property fronting pacific beach hotel,8/21/14 14:37,2/2/18 9:33,"(21.274239, -157.824203)",2014
"120,727",Homeless,Closed,Homeless encampment in muanalua bay beach park along side but below highway in the bushes,8/14/14 17:39,2/2/18 9:26,"(21.281418, -157.712494)",2014
"120,542",Homeless,Closed,Bulky pickup items blocking sidewalk on busy street. Lots of kids walk to school this way.,8/13/14 11:40,2/2/18 9:26,"(21.30419, -157.841644)",2014
"120,096",Homeless,Closed,Item have been stored at that location from Friday 8/8. Thank you,8/10/14 13:00,2/2/18 9:19,"(21.274279, -157.824142)",2014
"117,577",Homeless,Closed,Three broken down cars in front of house. One in carport with trash piled on it for over two years.,7/20/14 12:40,2/2/18 9:12,"(21.40226, -157.746399)",2014
"117,317",Homeless,Closed,Broken Down Cars . Three of them,7/18/14 3:13,2/2/18 9:14,"(21.401909, -157.746445)",2014
"116,617",Homeless,Closed,"Again. Yellow ""re-used, Caution"" tape is rewrapped on the jungle gym for nearly 2 YRS now. What am I missing?",7/12/14 20:45,2/2/18 9:14,"(21.271698, -157.815659)",2014
"116,392",Homeless,Closed,Abondoned shopping cart on hotel street near manifest cafe,7/10/14 15:19,2/2/18 9:15,"(21.311415, -157.862228)",2014
"116,068",Homeless,Closed,Homeless camp in the park.,7/8/14 10:13,2/2/18 9:10,"(21.329899, -157.691574)",2014
"115,965",Homeless,Closed,"This tape has been just put up, but it isn't new tape. It's reused tape for the past 10 months? I try to be as tolerant as possible. Only thing hard for me to understand, is why there has been no action on this for almost a year?",7/7/14 22:11,2/2/18 9:10,"(21.271729, -157.815781)",2014
"115,761",Homeless,Closed,Cars have difficulty passing large boats parked on the street. Also a hazard for trash pick up and possibly emergency vehicles. Does the city have liability if emergency vehicles cannot pass parked boats?,7/6/14 11:35,2/2/18 9:08,"(21.435989, -158.01976)",2014
"114,460",Homeless,Closed,Ton of stored property on hotel and nuuanu. Getting worse. Please come grab this stuff,6/25/14 10:38,2/2/18 9:07,"(21.31114, -157.861984)",2014
"114,381",Homeless,Closed,Stored property and signage fronting the pacific beach hotel. Officer Fikani has been awesome responding to these complaints. Mahalo-,6/24/14 15:30,2/2/18 9:07,"(21.274214, -157.824142)",2014
"114,341",Homeless,Closed,Illegal storage,6/24/14 10:05,2/2/18 9:07,"(21.27686873, -157.82212114)",2014
"114,124",Homeless,Closed,It is now a camping site! illegal stored property and living on the sidewalk,6/22/14 17:33,2/2/18 9:08,"(21.299845, -157.843857)",2014
"113,596",Homeless,Closed,"People have stored items on building, along the sidewalk near the women's bathroom. Bike rack has bike parts locked to it.",6/18/14 12:18,2/2/18 9:07,"(21.298004, -157.844467)",2014
"113,079",Homeless,Closed,Bulk personal homeless items on the curbside of piilkoi at Sheridan park. Is becoming unattended. Also seen on the corner of Rycroft & Piikoi park side of traffic light and tree,6/13/14 21:36,2/2/18 9:04,"(21.297924, -157.844879)",2014
"112,933",Homeless,Closed,"Another day another campsite, now surrounding bus stop and blocking sidewalk",6/12/14 10:07,2/2/18 9:03,"(21.288872617, -157.841339285)",2014
"112,818",Homeless,Closed,"Second day in a row, blocking sidewalk and begging. Where is HPD?",6/11/14 11:17,2/2/18 9:03,"(21.288854279, -157.841213722)",2014
"112,605",Homeless,Closed,"6/9/14 unattended trash 833 Piikoi St wagons, carts and bicycle parts.Sec. 29-4.3 ResponsibilitiesgRequirements. (a) It shall be the responsibility of: (1) Owners and persons in control of any private property to maintain the premises free from lit",6/9/14 18:43,2/2/18 9:03,"(21.297976, -157.844864)",2014
"112,372",Homeless,Closed,Abandoned personal property in Queen Kapioland garden.,6/7/14 7:45,2/2/18 9:02,"(21.269863, -157.81572)",2014
"112,115",Homeless,Closed,These personal property items have been here for over 2 months. There must be other reports about it?,6/4/14 20:55,2/2/18 9:02,"(21.273415, -157.815903)",2014
"112,111",Homeless,Closed,Illegal homeless encampment under the H1 freeway/ N.Nimitz hwy viaduct,6/4/14 18:06,,"(21.30895, -157.826182)",2014
"112,069",Homeless,Closed,Abandoned shopping cart with someone's personal belongings.,6/4/14 13:14,2/1/18 16:17,"(21.310951, -157.853806)",2014
"112,029",Homeless,Closed,On king st outside kaiser clinic. Blocking sidewalk.,6/4/14 7:12,2/1/18 16:17,"(21.300858, -157.846603)",2014
"111,924",Homeless,Closed,"As usual, items left out too far in advance of pickup, blocking sidewalk",6/3/14 10:39,2/1/18 16:17,"(21.303337, -157.845901)",2014
"111,791",Homeless,Closed,Abandoned shopping cart still here on nuuanu street just past Pauahi at the old pantheon bldg. there's another one right across the street. Could someone please come pick up?,6/2/14 10:08,2/1/18 16:17,"(21.311308, -157.861588)",2014
"111,424",Homeless,Closed,Stored shopping cart at old pantheon bldg next to restaurant epic. Please come pick up,5/29/14 13:52,2/1/18 16:18,"(21.311234, -157.862076)",2014
"111,393",Homeless,Closed,Mattress from homeless at sun yat sun park,5/29/14 10:04,2/1/18 16:18,"(21.310524, -157.861542)",2014
"111,319",Homeless,Closed,There is homeless stored property that has been here for a couple of days.,5/28/14 18:10,2/1/18 16:18,"(21.311312, -157.861649)",2014
"111,312",Homeless,Closed,Couple shopping carts in business area of Chinatown near corner of hotel and nuuanu. Please come pick up.,5/28/14 16:45,2/1/18 16:18,"(21.311386, -157.86145)",2014
"111,129",Homeless,Closed,Can someone please come pick up abandoned shopping carts on nuuanu street just before inner section at Hotel street? Thanks,5/27/14 11:33,2/1/18 16:18,"(21.31101, -157.862106)",2014
"110,243",Homeless,Closed,Homeless encampment getting a little out of hand. Kapiolani Park picnic area #5. Across from Natatorium. Could not get entire camp in the picture.,5/19/14 7:19,2/1/18 16:19,"(21.264862, -157.820786)",2014
"109,579",Homeless,Closed,Shopping cart on the road fronting McDonald's Restaurant and HMSA Center.,5/12/14 11:00,2/1/18 16:20,"(21.297188, -157.840775)",2014
"109,227",Homeless,Closed,Homeless has his things next to mail box on kalakaua an seaside 75ft from corner. Sleep there night n leave in morning but store his belonging next an under mailbox,5/8/14 10:55,2/1/18 16:20,"(21.279221, -157.82811)",2014
"108,661",Homeless,Closed,Stored property at the public shelter in front of the workout area in Queen Kapiolani park by the tennis courts,5/4/14 11:30,2/1/18 16:21,"(21.265904197, -157.820925143)",2014
