coc_code,state_code,coc_name,coc_total_population_zillow_2017,pit_count_from_2017_zillow_2017,estimated_homeless_rate_percent_zillow_2017,zri_as_percent_of_median_income_zillow_2017,percent_of_coc_living_in_extreme_poverty_zillow_2017,coc_category,pit_overall_homeless_2017,pit_sheltered_es_homeless_2017,pit_sheltered_th_homeless_2017,pit_sheltered_sh_homeless_2017,pit_sheltered_total_homeless_2017,pit_unsheltered_homeless_2017,pit_homeless_individuals_2017,pit_sheltered_es_homeless_individuals_2017,pit_sheltered_th_homeless_individuals_2017,pit_sheltered_sh_homeless_individuals_2017,pit_sheltered_total_homeless_individuals_2017,pit_unsheltered_homeless_individuals_2017,pit_homeless_people_in_families_2017,pit_sheltered_es_homeless_people_in_families_2017,pit_sheltered_th_homeless_people_in_families_2017,pit_sheltered_total_homeless_people_in_families_2017,pit_unsheltered_homeless_people_in_families_2017,pit_homeless_family_households_2017,pit_sheltered_es_homeless_family_households_2017,pit_sheltered_th_homeless_family_households_2017,pit_sheltered_total_homeless_family_households_2017,pit_unsheltered_homeless_family_households_2017,pit_chronically_homeless_2017,pit_sheltered_es_chronically_homeless_2017,pit_sheltered_sh_chronically_homeless_2017,pit_sheltered_total_chronically_homeless_2017,pit_unsheltered_chronically_homeless_2017,pit_chronically_homeless_individuals_2017,pit_sheltered_es_chronically_homeless_individuals_2017,pit_sheltered_sh_chronically_homeless_individuals_2017,pit_sheltered_total_chronically_homeless_individuals_2017,pit_unsheltered_chronically_homeless_individuals_2017,pit_chronically_homeless_people_in_families_2017,pit_sheltered_es_chronically_homeless_people_in_families_2017,pit_sheltered_total_chronically_homeless_people_in_families_2017,pit_unsheltered_chronically_homeless_people_in_families_2017,pit_homeless_veterans_2017,pit_sheltered_es_homeless_veterans_2017,pit_sheltered_th_homeless_veterans_2017,pit_sheltered_sh_homeless_veterans_2017,pit_sheltered_total_homeless_veterans_2017,pit_unsheltered_homeless_veterans_2017,pit_homeless_unaccompanied_youth_under_25_2017,pit_sheltered_es_homeless_unaccompanied_youth_under_25_2017,pit_sheltered_th_homeless_unaccompanied_youth_under_25_2017,pit_sheltered_sh_homeless_unaccompanied_youth_under_25_2017,pit_sheltered_total_homeless_unaccompanied_youth_under_25_2017,pit_unsheltered_homeless_unaccompanied_youth_under_25_2017,pit_homeless_unaccompanied_youth_under_18_2017,pit_sheltered_es_homeless_unaccompanied_youth_under_18_2017,pit_sheltered_th_homeless_unaccompanied_youth_under_18_2017,pit_sheltered_sh_homeless_unaccompanied_youth_under_18_2017,pit_sheltered_total_homeless_unaccompanied_youth_under_18_2017,pit_unsheltered_homeless_unaccompanied_youth_under_18_2017,pit_homeless_unaccompanied_youth_age_18_24_2017,pit_sheltered_es_homeless_unaccompanied_youth_age_18_24_2017,pit_sheltered_th_homeless_unaccompanied_youth_age_18_24_2017,pit_sheltered_sh_homeless_unaccompanied_youth_age_18_24_2017,pit_sheltered_total_homeless_unaccompanied_youth_age_18_24_2017,pit_unsheltered_homeless_unaccompanied_youth_age_18_24_2017,pit_homeless_parenting_youth_under_25_2017,pit_sheltered_es_homeless_parenting_youth_under_25_2017,pit_sheltered_th_homeless_parenting_youth_under_25_2017,pit_sheltered_total_homeless_parenting_youth_under_25_2017,pit_unsheltered_homeless_parenting_youth_under_25_2017,pit_homeless_parenting_youth_under_18_2017,pit_sheltered_es_homeless_parenting_youth_under_18_2017,pit_sheltered_th_homeless_parenting_youth_under_18_2017,pit_sheltered_total_homeless_parenting_youth_under_18_2017,pit_unsheltered_homeless_parenting_youth_under_18_2017,pit_homeless_parenting_youth_age_18_24_2017,pit_sheltered_es_homeless_parenting_youth_age_18_24_2017,pit_sheltered_th_homeless_parenting_youth_age_18_24_2017,pit_sheltered_total_homeless_parenting_youth_age_18_24_2017,pit_unsheltered_homeless_parenting_youth_age_18_24_2017,pit_homeless_children_of_parenting_youth_2017,pit_sheltered_es_homeless_children_of_parenting_youth_2017,pit_sheltered_th_homeless_children_of_parenting_youth_2017,pit_sheltered_total_homeless_children_of_parenting_youth_2017,pit_unsheltered_homeless_children_of_parenting_youth_2017,cluster_number_zillow_2017,cluster_location,cluster_description
ca-522,ca,humboldt county coc,135330,759,0.83,40.11013827,8.717186133,rural cocs,759,244,81,0,325,434,667,213,53,0,266,401,92,31,28,59,33,30,10,9,19,11,310,42,0,42,268,302,42,0,42,260,8,0,0,8,91,28,23,0,51,40,82,11,27,0,38,44,23,6,17,0,23,0,59,5,10,0,15,44,3,0,1,1,2,0,0,0,0,0,3,0,1,1,2,3,0,1,1,2,3,"west coast, east coast large metropolitan areas","high homeless rates, high housing costs"
ca-523,ca,"colusa, glenn, trinity counties coc",62236,176,0.39,38.24135656,9.364537338,rural cocs,176,13,30,0,43,133,118,5,11,0,16,102,58,8,19,27,31,15,2,5,7,8,34,0,0,0,34,34,0,0,0,34,0,0,0,0,12,0,0,0,0,12,7,0,0,0,0,7,0,0,0,0,0,0,7,0,0,0,0,7,4,0,2,2,2,0,0,0,0,0,4,0,2,2,2,3,0,2,2,1,3,"west coast, east coast large metropolitan areas","high homeless rates, high housing costs"
ca-524,ca,yuba city & county/sutter county coc,169922,760,0.52,30.35115918,7.069500167,suburban cocs,760,287,0,0,287,473,557,172,0,0,172,385,203,115,0,115,88,64,35,0,35,29,150,74,0,74,76,134,61,0,61,73,16,13,13,3,47,20,0,0,20,27,32,12,0,0,12,20,1,0,0,0,0,1,31,12,0,0,12,19,9,3,0,3,6,0,0,0,0,0,9,3,0,3,6,10,3,0,3,7,3,"west coast, east coast large metropolitan areas","high homeless rates, high housing costs"
ca-525,ca,el dorado county coc,183907,602,0.42,30.94147544,3.964924494,suburban cocs,602,59,47,0,106,496,446,45,43,0,88,358,156,14,4,18,138,60,5,2,7,53,241,30,0,30,211,169,24,0,24,145,72,6,6,66,97,3,12,0,15,82,30,4,4,0,8,22,3,3,0,0,3,0,27,1,4,0,5,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,"El Dorado County CoC, unique","high homeless rates, modest housing costs, low poverty rates"
ca-526,ca,"amador, calaveras, tuolumne and mariposa counties coc",152888,367,0.37,33.95666828,6.271296484,rural cocs,367,84,19,0,103,264,259,26,13,0,39,220,108,58,6,64,44,37,19,2,21,16,71,4,0,4,67,71,4,0,4,67,0,0,0,0,20,2,8,0,10,10,25,4,2,0,6,19,0,0,0,0,0,0,25,4,2,0,6,19,13,0,0,0,13,0,0,0,0,0,13,0,0,0,13,8,0,0,0,8,3,"west coast, east coast large metropolitan areas","high homeless rates, high housing costs"
ca-600,ca,los angeles city & county coc,9264635,55188,0.79,49.03433681,7.061760368,major cities,52442,8832,5122,18,13972,38470,44586,4013,3343,18,7374,37212,7856,4819,1779,6598,1258,2812,1653,627,2280,532,16249,986,12,998,15251,15759,717,12,729,15030,490,269,269,221,4440,379,691,0,1070,3370,2667,344,666,0,1010,1657,94,47,17,0,64,30,2573,297,649,0,946,1627,211,63,126,189,22,0,0,0,0,0,211,63,126,189,22,223,49,148,197,26,3,"west coast, east coast large metropolitan areas","high homeless rates, high housing costs"
ca-601,ca,san diego city and county coc,3283616,9160,0.37,40.16249351,6.264942653,major cities,9160,1572,1925,42,3539,5621,7571,1043,1158,42,2243,5328,1589,529,767,1296,293,514,158,265,423,91,2176,366,23,389,1787,2088,311,23,334,1754,88,55,55,33,1067,217,391,5,613,454,1160,75,202,0,277,883,68,26,1,0,27,41,1092,49,201,0,250,842,94,16,57,73,21,4,0,0,0,4,90,16,57,73,17,124,27,80,107,17,3,"west coast, east coast large metropolitan areas","high homeless rates, high housing costs"
ca-602,ca,santa ana/anaheim/orange county coc,3148353,4792,0.22,42.80087045,5.414774211,suburban cocs,4792,1248,960,0,2208,2584,3527,801,208,0,1009,2518,1265,447,752,1199,66,398,133,245,378,20,893,284,0,284,609,873,269,0,269,604,20,15,15,5,405,34,14,0,48,357,128,38,15,0,53,75,4,4,0,0,4,0,124,34,15,0,49,75,26,11,15,26,0,0,0,0,0,0,26,11,15,26,0,33,13,20,33,0,2,"New England, Florida, mountain west, central United States","intermediate homeless rates, average housing costs"
ca-603,ca,santa maria/santa barbara county coc,442940,1860,0.6,48.45005431,7.083200432,suburban cocs,1860,760,207,0,967,893,1422,586,97,0,683,739,438,174,110,284,154,138,50,40,90,48,226,126,0,126,100,153,111,0,111,42,73,15,15,58,100,40,11,0,51,49,145,30,17,0,47,98,36,3,0,0,3,33,109,27,17,0,44,65,4,2,2,4,0,0,0,0,0,0,4,2,2,4,0,6,2,4,6,0,2,"New England, Florida, mountain west, central United States","intermediate homeless rates, average housing costs"
ca-604,ca,bakersfield/kern county coc,876938,810,0.13,27.65341009,9.099454235,other urban cocs,810,368,173,0,541,269,623,225,141,0,366,257,187,143,32,175,12,63,49,11,60,3,289,123,0,123,166,234,75,0,75,159,55,48,48,7,90,13,49,0,62,28,53,15,16,0,31,22,0,0,0,0,0,0,53,15,16,0,31,22,13,10,3,13,0,0,0,0,0,0,13,10,3,13,0,8,5,3,8,0,2,"New England, Florida, mountain west, central United States","intermediate homeless rates, average housing costs"
ca-606,ca,long beach coc,474605,1863,0.51,49.84166598,8.62373953,major cities,1863,354,301,0,655,1208,1646,265,230,0,495,1151,217,89,71,160,57,70,27,24,51,19,694,148,0,148,546,680,146,0,146,534,14,2,2,12,318,24,184,0,208,110,64,15,0,0,15,49,0,0,0,0,0,0,64,15,0,0,15,49,8,5,2,7,1,0,0,0,0,0,8,5,2,7,1,10,5,4,9,1,3,"west coast, east coast large metropolitan areas","high homeless rates, high housing costs"
ca-607,ca,pasadena coc,137876,575,0.57,45.00281823,8.473201344,other urban cocs,575,173,55,0,228,347,465,116,12,0,128,337,110,57,43,100,10,37,21,12,33,4,202,47,0,47,155,196,47,0,47,149,6,0,0,6,30,11,0,0,11,19,36,5,3,0,8,28,5,0,0,0,0,5,31,5,3,0,8,23,4,2,2,4,0,0,0,0,0,0,4,2,2,4,0,5,3,2,5,0,3,"west coast, east coast large metropolitan areas","high homeless rates, high housing costs"
ca-608,ca,riverside city & county coc,2349752,2406,0.14,34.57582725,6.566141967,suburban cocs,2406,587,181,0,768,1638,2172,433,105,0,538,1634,234,154,76,230,4,69,47,21,68,1,418,77,0,77,341,411,70,0,70,341,7,7,7,0,148,33,24,0,57,91,257,50,25,0,75,182,30,19,0,0,19,11,227,31,25,0,56,171,9,7,2,9,0,0,0,0,0,0,9,7,2,9,0,8,6,2,8,0,2,"New England, Florida, mountain west, central United States","intermediate homeless rates, average housing costs"
ca-609,ca,san bernardino city & county coc,2118739,1866,0.12,32.99685925,8.274036638,suburban cocs,1866,378,292,17,687,1179,1432,171,109,17,297,1135,434,207,183,390,44,154,69,70,139,15,441,14,0,14,427,418,9,0,9,409,23,5,5,18,161,12,21,17,50,111,166,30,14,0,44,122,22,8,0,0,8,14,144,22,14,0,36,108,24,21,3,24,0,0,0,0,0,0,24,21,3,24,0,36,32,4,36,0,1,"midwest, mid-Atlantic, southeast","low homeless rates, modest housing costs"
ca-611,ca,oxnard/san buenaventura/ventura county coc,845387,1152,0.2,37.60437097,3.622960382,other urban cocs,1152,283,195,10,488,664,969,243,93,10,346,623,183,40,102,142,41,79,19,48,67,12,385,91,10,101,284,376,87,10,97,279,9,4,4,5,80,19,11,0,30,50,58,24,9,0,33,25,2,1,0,0,1,1,56,23,9,0,32,24,3,1,1,2,1,0,0,0,0,0,3,1,1,2,1,3,1,1,2,1,2,"New England, Florida, mountain west, central United States","intermediate homeless rates, average housing costs"
ca-612,ca,glendale coc,198806,168,0.1,56.92721271,4.522477975,other urban cocs,168,71,40,0,111,57,72,27,0,0,27,45,96,44,40,84,12,32,15,13,28,4,67,25,0,25,42,33,3,0,3,30,34,22,22,12,4,0,0,0,0,4,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,2,1,0,1,1,0,0,0,0,0,2,1,0,1,1,2,1,0,1,1,2,"New England, Florida, mountain west, central United States","intermediate homeless rates, average housing costs"
ca-613,ca,imperial county coc,179408,1154,0.89,32.45662714,8.916810394,suburban cocs,1154,82,46,0,128,1026,1034,60,0,0,60,974,120,22,46,68,52,39,7,14,21,18,105,3,0,3,102,88,3,0,3,85,17,0,0,17,21,0,0,0,0,21,24,4,0,0,4,20,4,0,0,0,0,4,20,4,0,0,4,16,4,2,0,2,2,0,0,0,0,0,4,2,0,2,2,6,4,0,4,2,2,"New England, Florida, mountain west, central United States","intermediate homeless rates, average housing costs"
ca-614,ca,san luis obispo county coc,280843,1125,0.67,44.02321972,7.511970193,suburban cocs,1125,260,43,0,303,822,977,144,24,0,168,809,148,116,19,135,13,49,38,6,44,5,282,16,0,16,266,276,16,0,16,260,6,0,0,6,84,8,0,0,8,76,196,9,0,0,9,187,23,0,0,0,0,23,173,9,0,0,9,164,7,3,0,3,4,0,0,0,0,0,7,3,0,3,4,7,3,0,3,4,3,"west coast, east coast large metropolitan areas","high homeless rates, high housing costs"
co-500,co,colorado balance of state coc,1702773,4019,0.36,32.24895476,6.140418685,rural cocs,4019,972,539,0,1511,2508,2568,700,268,0,968,1600,1451,272,271,543,908,429,86,76,162,267,807,228,0,228,579,722,210,0,210,512,85,18,18,67,332,103,38,0,141,191,240,62,13,0,75,165,16,3,1,0,4,12,224,59,12,0,71,153,62,14,15,29,33,0,0,0,0,0,62,14,15,29,33,75,21,21,42,33,2,"New England, Florida, mountain west, central United States","intermediate homeless rates, average housing costs"
co-503,co,metropolitan denver homeless initiative,3049220,5506,0.2,34.28620079,4.738304963,major cities,5506,2627,1960,25,4612,894,4031,2244,932,25,3201,830,1475,383,1028,1411,64,439,114,309,423,16,1083,604,25,629,454,1038,562,25,587,451,45,42,42,3,548,176,298,2,476,72,436,181,127,1,309,127,26,2,17,0,19,7,410,179,110,1,290,120,36,2,31,33,3,0,0,0,0,0,36,2,31,33,3,45,5,34,39,6,2,"New England, Florida, mountain west, central United States","intermediate homeless rates, average housing costs"
co-504,co,colorado springs/el paso county coc,675318,1415,0.26,24.7572882,4.45967707,major cities,1415,536,422,0,958,457,972,454,96,0,550,422,443,82,326,408,35,125,28,89,117,8,374,120,0,120,254,366,117,0,117,249,8,3,3,5,198,91,35,0,126,72,87,34,10,0,44,43,3,0,0,0,0,3,84,34,10,0,44,40,12,1,11,12,0,0,0,0,0,0,12,1,11,12,0,18,2,16,18,0,2,"New England, Florida, mountain west, central United States","intermediate homeless rates, average housing costs"
ct-503,ct,bridgeport/norwalk /stamford/fairfield county coc,858949,778,0.1,27.26145132,3.900098177,other urban cocs,778,484,212,0,696,82,430,280,68,0,348,82,348,204,144,348,0,112,64,48,112,0,52,36,0,36,16,48,32,0,32,16,4,4,4,0,48,4,42,0,46,2,47,26,2,0,28,19,10,10,0,0,10,0,37,16,2,0,18,19,19,14,5,19,0,0,0,0,0,0,19,14,5,19,0,29,20,9,29,0,2,"New England, Florida, mountain west, central United States","intermediate homeless rates, average housing costs"
ct-505,ct,connecticut balance of state coc,2730533,2610,0.11,27.31337034,5.019192652,suburban cocs,2610,1765,511,0,2276,334,1778,1171,277,0,1448,330,832,594,234,828,4,280,200,79,279,1,368,237,0,237,131,339,208,0,208,131,29,29,29,0,143,30,101,0,131,12,123,66,12,0,78,45,3,1,0,0,1,2,120,65,12,0,77,43,45,30,15,45,0,0,0,0,0,0,45,30,15,45,0,60,37,23,60,0,2,"New England, Florida, mountain west, central United States","intermediate homeless rates, average housing costs"
dc-500,dc,district of columbia coc,670534,7473,1.2,38.39843507,9.857367169,major cities,7473,5363,1213,0,6576,897,3583,1992,694,0,2686,897,3890,3371,519,3890,0,1166,975,191,1166,0,1881,1343,0,1343,538,1470,932,0,932,538,411,411,411,0,285,81,169,0,250,35,228,88,106,0,194,34,5,4,1,0,5,0,223,84,105,0,189,34,397,327,70,397,0,0,0,0,0,0,397,327,70,397,0,482,398,84,482,0,3,"west coast, east coast large metropolitan areas","high homeless rates, high housing costs"
de-500,de,delaware statewide coc,942936,994,0.11,26.70347338,5.644047028,suburban cocs,994,564,372,0,936,58,615,355,208,0,563,52,379,209,164,373,6,129,67,60,127,2,127,102,0,102,25,123,98,0,98,25,4,4,4,0,91,36,49,0,85,6,45,24,19,0,43,2,2,0,2,0,2,0,43,24,17,0,41,2,20,8,12,20,0,2,0,2,2,0,18,8,10,18,0,25,12,13,25,0,2,"New England, Florida, mountain west, central United States","intermediate homeless rates, average housing costs"
fl-500,fl,"sarasota/bradenton/manatee, sarasota counties coc",767077,1447,0.28,35.78828745,5.174078771,suburban cocs,1447,449,336,0,785,662,1202,378,219,0,597,605,245,71,117,188,57,74,21,39,60,14,285,36,0,36,249,270,36,0,36,234,15,0,0,15,149,35,42,0,77,72,85,38,20,0,58,27,14,14,0,0,14,0,71,24,20,0,44,27,15,1,13,14,1,0,0,0,0,0,15,1,13,14,1,21,3,17,20,1,2,"New England, Florida, mountain west, central United States","intermediate homeless rates, average housing costs"
fl-501,fl,tampa/hillsborough county coc,1343234,1549,0.18,29.08732201,6.737518068,suburban cocs,1549,668,299,15,982,567,1070,342,161,15,518,552,479,326,138,464,15,154,107,44,151,3,235,58,3,61,174,230,53,3,56,174,5,5,5,0,172,55,53,15,123,49,43,13,8,0,21,22,0,0,0,0,0,0,43,13,8,0,21,22,29,17,12,29,0,0,0,0,0,0,29,17,12,29,0,47,28,19,47,0,2,"New England, Florida, mountain west, central United States","intermediate homeless rates, average housing costs"
fl-502,fl,st. petersburg/clearwater/largo/pinellas county coc,947619,2831,0.41,33.28978238,6.909468342,suburban cocs,2831,1294,349,36,1679,1152,2466,973,305,36,1314,1152,365,321,44,365,0,115,97,18,115,0,690,156,23,179,511,690,156,23,179,511,0,0,0,0,329,128,115,20,263,66,118,48,40,0,88,30,31,14,17,0,31,0,87,34,23,0,57,30,12,11,1,12,0,0,0,0,0,0,12,11,1,12,0,17,16,1,17,0,3,"west coast, east coast large metropolitan areas","high homeless rates, high housing costs"
fl-503,fl,lakeland/winter haven/polk county coc,648706,512,0.1,30.41019731,7.292854105,suburban cocs,512,145,218,0,363,149,342,58,137,0,195,147,170,87,81,168,2,45,21,23,44,1,77,11,0,11,66,77,11,0,11,66,0,0,0,0,35,10,8,0,18,17,24,7,10,0,17,7,3,3,0,0,3,0,21,4,10,0,14,7,4,2,2,4,0,0,0,0,0,0,4,2,2,4,0,5,1,4,5,0,2,"New England, Florida, mountain west, central United States","intermediate homeless rates, average housing costs"
fl-504,fl,"daytona beach/daytona/volusia, flagler counties coc",622944,753,0.17,34.09781605,6.962274571,suburban cocs,753,112,193,0,305,448,555,67,55,0,122,433,198,45,138,183,15,63,14,44,58,5,88,6,0,6,82,85,6,0,6,79,3,0,0,3,52,3,20,0,23,29,37,12,7,0,19,18,17,9,3,0,12,5,20,3,4,0,7,13,4,0,3,3,1,0,0,0,0,0,4,0,3,3,1,6,0,4,4,2,3,"west coast, east coast large metropolitan areas","high homeless rates, high housing costs"
fl-505,fl,"fort walton beach/okaloosa, walton counties coc",262928,401,0.23,29.91709242,5.815777926,suburban cocs,401,68,62,0,130,271,247,10,4,0,14,233,154,58,58,116,38,44,18,18,36,8,112,6,0,6,106,92,6,0,6,86,20,0,0,20,27,6,0,0,6,21,17,0,4,0,4,13,5,0,4,0,4,1,12,0,0,0,0,12,8,3,2,5,3,1,0,0,0,1,7,3,2,5,2,10,2,2,4,6,3,"west coast, east coast large metropolitan areas","high homeless rates, high housing costs"
fl-506,fl,tallahassee/leon county coc,438911,1072,0.27,27.73649772,11.14167996,other urban cocs,1072,682,268,0,950,122,810,457,231,0,688,122,262,225,37,262,0,73,62,11,73,0,117,58,0,58,59,112,53,0,53,59,5,5,5,0,110,41,59,0,100,10,83,48,13,0,61,22,14,13,0,0,13,1,69,35,13,0,48,21,11,9,2,11,0,0,0,0,0,0,11,9,2,11,0,17,13,4,17,0,2,"New England, Florida, mountain west, central United States","intermediate homeless rates, average housing costs"
fl-507,fl,"orlando/orange, osceola, seminole counties coc",2054589,2074,0.13,31.15992052,6.992075136,suburban cocs,2074,950,784,0,1734,340,1342,579,447,0,1026,316,732,371,337,708,24,244,132,102,234,10,194,87,0,87,107,182,78,0,78,104,12,9,9,3,218,77,130,0,207,11,95,42,44,0,86,9,0,0,0,0,0,0,95,42,44,0,86,9,27,18,8,26,1,0,0,0,0,0,27,18,8,26,1,38,26,11,37,1,2,"New England, Florida, mountain west, central United States","intermediate homeless rates, average housing costs"
fl-508,fl,"gainesville/alachua, putnam counties coc",414138,819,0.29,31.75824475,12.59032136,rural cocs,819,304,69,0,373,446,699,200,58,0,258,441,120,104,11,115,5,31,24,5,29,2,291,29,0,29,262,284,22,0,22,262,7,7,7,0,126,19,49,0,68,58,49,40,2,0,42,7,36,29,2,0,31,5,13,11,0,0,11,2,3,2,1,3,0,0,0,0,0,0,3,2,1,3,0,2,1,1,2,0,2,"New England, Florida, mountain west, central United States","intermediate homeless rates, average housing costs"
fl-509,fl,"fort pierce/st. lucie, indian river, martin counties coc",601682,1732,0.47,35.54859521,6.095245682,suburban cocs,1732,80,103,0,183,1549,750,23,42,0,65,685,982,57,61,118,864,338,22,19,41,297,57,0,0,0,57,57,0,0,0,57,0,0,0,0,72,0,0,0,0,72,103,14,13,0,27,76,60,10,0,0,10,50,43,4,13,0,17,26,9,4,4,8,1,0,0,0,0,0,9,4,4,8,1,11,4,6,10,1,3,"west coast, east coast large metropolitan areas","high homeless rates, high housing costs"
fl-510,fl,"jacksonville-duval, clay counties coc",1192876,1869,0.19,26.80642755,6.636904062,major cities,1869,933,504,0,1437,432,1444,555,457,0,1012,432,425,378,47,425,0,135,121,14,135,0,319,167,0,167,152,286,134,0,134,152,33,33,33,0,125,30,70,0,100,25,126,62,27,0,89,37,34,34,0,0,34,0,92,28,27,0,55,37,14,14,0,14,0,0,0,0,0,0,14,14,0,14,0,26,26,0,26,0,2,"New England, Florida, mountain west, central United States","intermediate homeless rates, average housing costs"
fl-511,fl,pensacola/escambia/santa rosa county coc,479606,758,0.21,25.59627036,5.733995999,suburban cocs,758,218,283,0,501,257,619,140,229,0,369,250,139,78,54,132,7,44,26,15,41,3,135,28,0,28,107,132,28,0,28,104,3,0,0,3,117,21,55,0,76,41,43,8,25,0,33,10,0,0,0,0,0,0,43,8,25,0,33,10,11,7,4,11,0,0,0,0,0,0,11,7,4,11,0,20,11,9,20,0,2,"New England, Florida, mountain west, central United States","intermediate homeless rates, average housing costs"
fl-512,fl,saint johns county coc,226229,445,0.31,27.52983195,4.114820327,suburban cocs,445,89,90,0,179,266,295,43,4,0,47,248,150,46,86,132,18,42,14,24,38,4,42,1,0,1,41,42,1,0,1,41,0,0,0,0,40,7,0,0,7,33,16,0,0,0,0,16,0,0,0,0,0,0,16,0,0,0,0,16,8,2,6,8,0,0,0,0,0,0,8,2,6,8,0,14,5,9,14,0,3,"west coast, east coast large metropolitan areas","high homeless rates, high housing costs"
fl-513,fl,palm bay/melbourne/brevard county coc,567775,845,0.17,31.18208505,5.510741766,suburban cocs,845,211,381,0,592,253,583,161,184,0,345,238,262,50,197,247,15,87,15,67,82,5,167,53,0,53,114,153,47,0,47,106,14,6,6,8,210,17,154,0,171,39,55,23,18,0,41,14,18,18,0,0,18,0,37,5,18,0,23,14,3,2,1,3,0,0,0,0,0,0,3,2,1,3,0,3,2,1,3,0,2,"New England, Florida, mountain west, central United States","intermediate homeless rates, average housing costs"
fl-514,fl,ocala/marion county coc,343871,725,0.26,29.81851677,8.456455637,suburban cocs,725,160,130,0,290,435,599,83,100,0,183,416,126,77,30,107,19,38,20,11,31,7,147,10,0,10,137,137,0,0,0,137,10,10,10,0,72,0,60,0,60,12,54,19,11,0,30,24,30,19,11,0,30,0,24,0,0,0,0,24,24,3,14,17,7,12,0,12,12,0,12,3,2,5,7,29,3,14,17,12,2,"New England, Florida, mountain west, central United States","intermediate homeless rates, average housing costs"
fl-515,fl,"panama city/bay, jackson counties coc",304441,336,0.13,31.77096342,7.53484168,rural cocs,336,48,95,0,143,193,285,44,85,0,129,156,51,4,10,14,37,14,2,3,5,9,38,0,0,0,38,38,0,0,0,38,0,0,0,0,34,6,9,0,15,19,43,13,30,0,43,0,26,9,17,0,26,0,17,4,13,0,17,0,2,0,1,1,1,0,0,0,0,0,2,0,1,1,1,2,0,1,1,1,1,"midwest, mid-Atlantic, southeast","low homeless rates, modest housing costs"
fl-517,fl,"hendry, hardee, highlands counties coc",253385,609,0.41,41.00323093,10.37309745,rural cocs,609,44,47,0,91,518,377,0,9,0,9,368,232,44,38,82,150,79,18,14,32,47,283,0,0,0,283,236,0,0,0,236,47,0,0,47,16,0,0,0,0,16,62,0,0,0,0,62,21,0,0,0,0,21,41,0,0,0,0,41,11,4,0,4,7,0,0,0,0,0,11,4,0,4,7,15,6,0,6,9,3,"west coast, east coast large metropolitan areas","high homeless rates, high housing costs"
fl-518,fl,"columbia, hamilton, lafayette, suwannee counties coc",135313,502,0.6,30.14220913,8.33518291,rural cocs,502,65,34,0,99,403,372,12,34,0,46,326,130,53,0,53,77,44,16,0,16,28,38,0,0,0,38,34,0,0,0,34,4,0,0,4,43,1,25,0,26,17,44,10,1,0,11,33,9,7,0,0,7,2,35,3,1,0,4,31,11,3,0,3,8,0,0,0,0,0,11,3,0,3,8,12,4,0,4,8,3,"west coast, east coast large metropolitan areas","high homeless rates, high housing costs"
fl-519,fl,pasco county coc,497332,2593,0.72,28.50454098,5.475306557,suburban cocs,2593,141,37,0,178,2415,838,76,37,0,113,725,1755,65,0,65,1690,444,22,0,22,422,847,51,0,51,796,416,41,0,41,375,431,10,10,421,220,45,0,0,45,175,329,6,6,0,12,317,49,2,0,0,2,47,280,4,6,0,10,270,24,4,0,4,20,2,0,0,0,2,22,4,0,4,18,30,2,0,2,28,3,"west coast, east coast large metropolitan areas","high homeless rates, high housing costs"
fl-520,fl,"citrus, hernando, lake, sumter counties coc",763325,635,0.12,33.0482558,5.610845729,suburban cocs,635,176,106,0,282,353,444,79,59,0,138,306,191,97,47,144,47,61,31,17,48,13,40,25,0,25,15,40,25,0,25,15,0,0,0,0,57,24,5,0,29,28,26,3,9,0,12,14,3,1,0,0,1,2,23,2,9,0,11,12,7,1,6,7,0,0,0,0,0,0,7,1,6,7,0,12,2,10,12,0,2,"New England, Florida, mountain west, central United States","intermediate homeless rates, average housing costs"
fl-600,fl,miami/dade county coc,2689794,3721,0.16,48.46016176,7.557531555,major cities,3721,1928,755,27,2710,1011,2546,993,515,27,1535,1011,1175,935,240,1175,0,341,261,80,341,0,309,162,12,174,135,294,147,12,159,135,15,15,15,0,167,65,93,0,158,9,141,77,23,1,101,40,6,4,0,0,4,2,135,73,23,1,97,38,45,33,12,45,0,0,0,0,0,0,45,33,12,45,0,82,52,30,82,0,2,"New England, Florida, mountain west, central United States","intermediate homeless rates, average housing costs"
fl-601,fl,ft lauderdale/broward county coc,1884408,2450,0.15,35.64054773,6.32197121,suburban cocs,2450,886,572,35,1493,957,2037,652,420,35,1107,930,413,234,152,386,27,137,81,49,130,7,581,141,28,169,412,558,127,28,155,403,23,14,14,9,197,42,50,0,92,105,154,71,55,1,127,27,14,13,0,0,13,1,140,58,55,1,114,26,21,11,9,20,1,0,0,0,0,0,21,11,9,20,1,31,17,13,30,1,2,"New England, Florida, mountain west, central United States","intermediate homeless rates, average housing costs"
