"","arrest_charge","arrest_statute","count"
"474","796.07(2e)","prostitution-or assignation offer commit engage subsq off",1
"475","796.07(2e)","sex offense-engage commit offer lewdness subsequent off",1
"476","796.07(2e)","solicitation to prostitution-or assignation offer commit engage 1st off",1
"477","800.04(4a)","sex offense against child 12 yoa up to 15 yoa",1
"478","800.04(5b)","lewd or lascivious behavior -molest vic less 12yoa offender 18 yoa or older",1
"479","800.04(5c2)","lewd lascv behavior -vic 12y or oldr younger thn 16yoa off 18y oldr",1
"480","800.04(7b)","lewd or lascivious conduct/exhibition by person over 18 yoa",1
"481","800.04(7c)","lewd or lascivious conduct/exhibition by person less than 18 yoa",1
"482","806.13(1)(b)4","damage prop crim misch-under $200 /subsq off",1
"483","810.02(1b)(4a)","burg unoccupied structurewearing mask",1
"484","810.02(2b)","attempt to burgl-dwelling structure or conveyance armed",1
"485","810.02(3a)*","burgl-of dwelling unarmed no asslt or batt",1
"486","810.02(3c)","burgl - occupied structure unarmed",1
"487","810.02(3e)","attempt burg unocc authorized emerg vehicle",1
"488","810.02(4)","principal to burgl-of structure conveyance unarmed wo person inside",1
"489","810.02(4)(a)","attempt-without executing to burg-unoccupied structure",1
"490","810.02(4)(b)","attempt to burglary of an unoccupied conveyance",1
"491","810.02(4)(b)","attempt-without executing to burglary of an unoccupied conveyance",1
"492","810.02(4)(b)","principal to burglary of an unoccupied conveyance",1
"493","810.061(2)","burgl - impair dwelling phone power further burglary",1
"494","810.08(2b)*","trespassing-occupied structure or conveyance",1
"495","810.08(2c)","trespassing-armed structure or conveyance",1
"496","810.09(2a)","principal to trespassing-property not structure or convey",1
"497","810.09(2b)","attempt to trespassing-fail to leave property",1
"498","810.097(1)","trespassing-school grounds -was 228.091",1
"499","810.115","damage prop crim misch-break injure fence",1
"500","810.145(2ab)(8)","video voyeurism 19 yoa or older",1
"501","812.014(2c1)*","attempt-without executing to larc-theft is $300 or more but less than $5000",1
"502","812.014(2c1)*","conspiracy to larc-theft is $300 or more but less than $5000",1
"503","812.014(2c10)","larc-grand from posted construction site",1
"504","812.014(2c2)","larc-grand theft $5 000 or more but less than $10 000"",1,""812.014(2c1)*",1
"505","812.014(2c2)","larc-grand theft $5 000 or more but less than $10 000"",5,""812.014(2c1)",1
"506","812.014(2c3)","larc-grand theft $10 000 or more but less than $20 000"",1,""812.014(2c3)",1
"507","812.014(2c6)","attempt to vehicle theft",1
"508","812.014(2e)","principal to petit theft to und 300 dols",1
"509","812.014(2e)*","petit theft to und 300 dols",1
"510","812.014(3a)","attempt-without executing to larc-petit first offense",1
"511","812.014(3a)","conspiracy to larc-petit first offense",1
"512","812.014(3c)","attempt-without executing to larc-petit third or subsequent conviction",1
"513","812.014(3c)*","larc-petit third or subsequent conviction",1
"514","812.015(8)(a)","retail theft 300 more dols coordinate others",1
"515","812.015(8c)","retail theft 300 more dols others distract",1
"516","812.019(1)","principal to stolen prop deal in",1
"517","812.13(2a)","principal to robbery-with firearm",1
"518","812.13(2a)","robbery resid home invasion w/ firearm other deadly weapon",1
"519","812.13(2c)*","robbery-no firearm or weapon",1
"520","812.131(2a)*","robbery-by sudden snatching w firearm or weapon",1
"521","812.135(1)(2a)","attempt home invasion robbery w/firearm",1
"522","817.03","fraud false statement-to obtain credit or property",1
"523","817.034(4a2)","fraud swindle-obtain property over 20000 dollars",1
"524","817.155","fraud -false statement to dept of state",1
"525","817.52(3)","fraud-fail to redeliver hired vehicle",1
"526","817.563","drugs misbranded-sell in lieu of sched i ii iii iv cntrl subs",1
"527","817.568(2)","fraud imperson-attempt to use id of another person wo consent",1
"528","817.568(2)(c)","use of anothers id with $50k-$100k benefit",1
"529","817.568(5a)","use public rec personal id info commit m/f",1
"530","817.568(9)","create poss use fictitious personal id info",1
"531","817.5685(3)(b)2","fraud-unlawful poss personal id of another 5 or more persons",1
"532","817.61","principal to fraud illeg use credit cards",1
"533","817.61*","fraud illeg use credit cards-use more 2 times 6 mos obt gds money $100 more",1
"534","825.102(1)","crimes against person-abuse elderly or disabled adult wo great harm",1
"535","825.1025(2)","sex asslt-lewd lascivious battery elderly disabled adult",1
"536","825.103(2c)*","crimes against person-exploitation of elderly 100 dollars or more",1
"537","825.103(3b)","exploitation of elderly 10k dol to und 50k dol",1
"538","827.071(4)","obscene material possess-wit promote photo movie sex performance child",1
"539","828.12(2)","conservation animals-cause cruel death pain and suffering",1
"540","828.12(2)","prin conserv-animals cause cruel death pain suffering",1
"541","831.02*","pass counterfeited-instrument",1
"542","831.07*","forgery of-alter bank bill or promissory note",1
"543","831.09*","fraud-utter false bill or promissory note",1
"544","832.05(3)","attempt to cash deposit bank item w/intent to defraud",1
"545","837.02","perjury-in an official proceeding",1
"546","843.02","attempt to resist officer-obstruct wo violence",1
"547","847.0135(3)","obscene communication-use computer srvc to seduce solicit etc child",1
"548","847.0135(4)(a)","travel to meet after use compute to lure child",1
"549","847.0137(2)","in state person elec trans child porno",1
"550","847.0138(2)","transmission of pornography to minor",1
"551","860.04","fraud swindle-unauthorized persons board train",1
"552","871.01","disturbing peace-school religious or lawful assembly",1
"553","876.12","public order crimes-wear hood or mask on street",1
"554","876.14","public order crimes-wear hood or mask on property of another",1
"555","877.03","disorderly conduct evidencing prejudice",1
"556","893.13","drugs produce-produce methamphetamine",1
"557","893.13(1a1)","drug posses wit sell mfg deliver",1
"558","893.13(1a1)","drugs poss(methaqualone) w/i phys cntrl of motor vehicle",1
"559","893.13(1a1)","heroin sell-schedule i",1
"560","893.13(1a1)","opium or deriv distrib-schedule i or ii",1
"561","893.13(1a1)","principal to sell manufac del poss cont subst schedule i",1
"562","893.13(1a1)","synth narcotic sell-schedule i or ii",1
"563","893.13(1a2)","amphetamine possess-wit sell mfg deliv schedule ii or iii or iv",1
"564","893.13(1a2)","drugs   possess-wit sell mfg deliver steroids schedule iii",1
"565","893.13(1a2)","drugs   sell-other schedule iii or iv",1
"566","893.13(1a2)","hallucinogen possess-wit sell mfg or deliver schedule i iii or iv",1
"567","893.13(1a2)","marijuana possess-with intent to sell",1
"568","893.13(1a2)","synth narcotic sell-schedule iii",1
"569","893.13(1a2)*","drugs deliv/distr-other schedule iii or iv",1
"570","893.13(1c)48","possess cont substance - spice",1
"571","893.13(1c1)","cocaine sell-within 1000 ft of school schedule ii",1
"572","893.13(1c2)","drugs   possess-wit sell mfg deliv sch other sched iii or iv",1
"573","893.13(1c2)","drugs   sell-wi 1000 ft of school other sched iii or iv",1
"574","893.13(1c2)","marijuana producing-manufacture within 1000 ft of school sched i",1
"575","893.13(1d1)","cocaine possess-wit sell mfg deliv 200ft pub park etc sched ii",1
"576","893.13(1e1)","cocaine distrib-deliv wi 1000ft worship or busn sch ii",1
"577","893.13(1e1)","cocaine possess-wit sel  mfg  deliv wi 1000ft worship or busn sch ii"",1,""893.13(6a)",1
"578","893.13(1e1)","cocaine sell-wi 1000ft worship or busn  sch ii"",1,""817.563*",1
"579","893.13(1e1)","hallucinogen possess-wit sell  mfg  deliv  wi 1000ft worship or busn  sch ii"",3,""893.13(1c2)",1
"580","893.13(1e1)","hallucinogen possess-wit sell  mfg  deliv  wi 1000ft worship or busn  sch ii"",4,""893.13(6a)",1
"581","893.13(1e1)","hallucinogen possess-wit sell  mfg  deliv  wi 1000ft worship or busn  sch ii"",5,""893.13(6a)",1
"582","893.13(1e2)","drugs sell-wi 1000ft worship-busn sch iii or ov",1
"583","893.13(1e2)","marijuana distrib-del wi 1000ft worship-busn sch i",1
"584","893.13(1e2)","marijuana sell-wi 1000ft worship-busn sch i",1
"585","893.13(1f1)","drugs deliv/distr-wi 1000ft  public housing sch methaq mecloq sch i",1
"586","893.13(2a2)","drugs   possess-wit purchase other schedule iii or iv",1
"587","893.13(6)(b)","not more than 20 gms of spice",1
"588","893.13(6c)","synth narcotic possess-over 10 grams schedule i",1
"589","893.13(7a4)","marijuana distrib-schedule i or ii subsequent violation",1
"590","893.13(7a7)","fraud-conceal info to obtain prescription first viol",1
"591","893.13(7a7)","possess blank prescription form subsq violation",1
"592","893.13(7a8)","fraud-possess blank prescription form first viol",1
"593","893.135","drugs traffic-4 grams less 30 kg other cntrl subst",1
"594","893.135(1c3a)","traffic oxycodone- 7 grams less than 14 grams",1
"595","893.135(1f1c)","amphetamine traffic-or methamphetamine 200 grams or more",1
"596","893.135(1f2)","amphetamine-mfg capital  400 grams or more",1
"597","893.135(1k1a)","phenethylamine traffic-10 grams  less than 200 grams",1
"598","893.149(1a)*","drugs   possess-listed chemical wit manufacture cntrl subs",1
"599","893.149(1b)","drugs deliv/distr-distribute listed chemical for manufacture",1
"600","896.101","fraud-money launder trans $100 000 or more"",2,""896.101",1
"601","900.04","contempt of court-circuit or county",1
"602","903.0471","condit release violation",1
"603","914.22(2)","obstructing justice-harass witness victim or informant",1
"604","943.0435(14a)","sex offender violation - fail to register as required",1
"605","943.0435(4a)","sex offender viol-fail to report name or residence change",1
"606","943.0435(7)","sex offender viol-fail report residence change oth state juris",1
"607","943.0435(8)","sex offender violation-fail cancel oth state juris res change notice",1
"608","943.325(15a)","obstructing justice",1
"609","951.22","smuggle contraband-introduce into detention facility",1
"610","99999999999","loitering city ordinance",1
"611","99999999999","open container alcohol (city)",1
